Year,Month,Day,Hora(utc),Altura(mm)
2016,2,1,0,976
2016,2,1,1,1052
2016,2,1,2,1093
2016,2,1,3,1108
2016,2,1,4,1105
2016,2,1,5,1091
2016,2,1,6,1077
2016,2,1,7,1073
2016,2,1,8,1085
2016,2,1,9,1112
2016,2,1,10,1154
2016,2,1,11,1203
2016,2,1,12,1232
2016,2,1,13,1220
2016,2,1,14,1163
2016,2,1,15,1068
2016,2,1,16,947
2016,2,1,17,824
2016,2,1,18,716
2016,2,1,19,630
2016,2,1,20,578
2016,2,1,21,568
2016,2,1,22,607
2016,2,1,23,696
2016,2,2,0,821
2016,2,2,1,954
2016,2,2,2,1069
2016,2,2,3,1157
2016,2,2,4,1213
2016,2,2,5,1239
2016,2,2,6,1235
2016,2,2,7,1206
2016,2,2,8,1170
2016,2,2,9,1139
2016,2,2,10,1120
2016,2,2,11,1122
2016,2,2,12,1141
2016,2,2,13,1159
2016,2,2,14,1153
2016,2,2,15,1112
2016,2,2,16,1030
2016,2,2,17,918
2016,2,2,18,794
2016,2,2,19,671
2016,2,2,20,564
2016,2,2,21,492
2016,2,2,22,472
2016,2,2,23,515
2016,2,3,0,627
2016,2,3,1,791
2016,2,3,2,974
2016,2,3,3,1143
2016,2,3,4,1277
2016,2,3,5,1362
2016,2,3,6,1389
2016,2,3,7,1358
2016,2,3,8,1284
2016,2,3,9,1194
2016,2,3,10,1112
2016,2,3,11,1055
2016,2,3,12,1042
2016,2,3,13,1069
2016,2,3,14,1108
2016,2,3,15,1128
2016,2,3,16,1108
2016,2,3,17,1034
2016,2,3,18,911
2016,2,3,19,759
2016,2,3,20,598
2016,2,3,21,455
2016,2,3,22,361
2016,2,3,23,340
2016,2,4,0,411
2016,2,4,1,575
2016,2,4,2,803
2016,2,4,3,1049
2016,2,4,4,1273
2016,2,4,5,1442
2016,2,4,6,1528
2016,2,4,7,1519
2016,2,4,8,1428
2016,2,4,9,1288
2016,2,4,10,1138
2016,2,4,11,1014
2016,2,4,12,947
2016,2,4,13,956
2016,2,4,14,1020
2016,2,4,15,1098
2016,2,4,16,1151
2016,2,4,17,1147
2016,2,4,18,1061
2016,2,4,19,901
2016,2,4,20,696
2016,2,4,21,483
2016,2,4,22,302
2016,2,4,23,196
2016,2,5,0,198
2016,2,5,1,326
2016,2,5,2,566
2016,2,5,3,869
2016,2,5,4,1179
2016,2,5,5,1449
2016,2,5,6,1627
2016,2,5,7,1675
2016,2,5,8,1595
2016,2,5,9,1424
2016,2,5,10,1213
2016,2,5,11,1012
2016,2,5,12,873
2016,2,5,13,834
2016,2,5,14,895
2016,2,5,15,1013
2016,2,5,16,1136
2016,2,5,17,1218
2016,2,5,18,1213
2016,2,5,19,1089
2016,2,5,20,866
2016,2,5,21,595
2016,2,5,22,330
2016,2,5,23,121
2016,2,6,0,24
2016,2,6,1,79
2016,2,6,2,290
2016,2,6,3,614
2016,2,6,4,990
2016,2,6,5,1356
2016,2,6,6,1648
2016,2,6,7,1795
2016,2,6,8,1766
2016,2,6,9,1594
2016,2,6,10,1340
2016,2,6,11,1067
2016,2,6,12,841
2016,2,6,13,725
2016,2,6,14,746
2016,2,6,15,875
2016,2,6,16,1049
2016,2,6,17,1214
2016,2,6,18,1314
2016,2,6,19,1284
2016,2,6,20,1096
2016,2,6,21,798
2016,2,6,22,465
2016,2,6,23,160
2016,2,7,0,-55
2016,2,7,1,-113
2016,2,7,2,20
2016,2,7,3,319
2016,2,7,4,720
2016,2,7,5,1155
2016,2,7,6,1556
2016,2,7,7,1832
2016,2,7,8,1905
2016,2,7,9,1775
2016,2,7,10,1510
2016,2,7,11,1186
2016,2,7,12,876
2016,2,7,13,660
2016,2,7,14,601
2016,2,7,15,698
2016,2,7,16,892
2016,2,7,17,1119
2016,2,7,18,1319
2016,2,7,19,1416
2016,2,7,20,1334
2016,2,7,21,1070
2016,2,7,22,707
2016,2,7,23,330
2016,2,8,0,8
2016,2,8,1,-184
2016,2,8,2,-177
2016,2,8,3,39
2016,2,8,4,413
2016,2,8,5,872
2016,2,8,6,1346
2016,2,8,7,1743
2016,2,8,8,1957
2016,2,8,9,1927
2016,2,8,10,1695
2016,2,8,11,1353
2016,2,8,12,984
2016,2,8,13,672
2016,2,8,14,503
2016,2,8,15,517
2016,2,8,16,685
2016,2,8,17,935
2016,2,8,18,1206
2016,2,8,19,1425
2016,2,8,20,1493
2016,2,8,21,1345
2016,2,8,22,1018
2016,2,8,23,616
2016,2,9,0,224
2016,2,9,1,-84
2016,2,9,2,-226
2016,2,9,3,-145
2016,2,9,4,140
2016,2,9,5,563
2016,2,9,6,1054
2016,2,9,7,1528
2016,2,9,8,1875
2016,2,9,9,1990
2016,2,9,10,1851
2016,2,9,11,1536
2016,2,9,12,1148
2016,2,9,13,771
2016,2,9,14,492
2016,2,9,15,388
2016,2,9,16,472
2016,2,9,17,695
2016,2,9,18,990
2016,2,9,19,1291
2016,2,9,20,1503
2016,2,9,21,1523
2016,2,9,22,1318
2016,2,9,23,960
2016,2,10,0,554
2016,2,10,1,180
2016,2,10,2,-85
2016,2,10,3,-161
2016,2,10,4,-18
2016,2,10,5,306
2016,2,10,6,749
2016,2,10,7,1235
2016,2,10,8,1664
2016,2,10,9,1917
2016,2,10,10,1918
2016,2,10,11,1690
2016,2,10,12,1329
2016,2,10,13,931
2016,2,10,14,580
2016,2,10,15,359
2016,2,10,16,321
2016,2,10,17,457
2016,2,10,18,718
2016,2,10,19,1043
2016,2,10,20,1350
2016,2,10,21,1531
2016,2,10,22,1502
2016,2,10,23,1270
2016,2,11,0,921
2016,2,11,1,547
2016,2,11,2,221
2016,2,11,3,19
2016,2,11,4,3
2016,2,11,5,181
2016,2,11,6,512
2016,2,11,7,939
2016,2,11,8,1377
2016,2,11,9,1716
2016,2,11,10,1854
2016,2,11,11,1758
2016,2,11,12,1479
2016,2,11,13,1109
2016,2,11,14,737
2016,2,11,15,439
2016,2,11,16,280
2016,2,11,17,292
2016,2,11,18,460
2016,2,11,19,744
2016,2,11,20,1078
2016,2,11,21,1364
2016,2,11,22,1502
2016,2,11,23,1446
2016,2,12,0,1226
2016,2,12,1,922
2016,2,12,2,607
2016,2,12,3,349
2016,2,12,4,211
2016,2,12,5,234
2016,2,12,6,414
2016,2,12,7,720
2016,2,12,8,1096
2016,2,12,9,1447
2016,2,12,10,1670
2016,2,12,11,1704
2016,2,12,12,1548
2016,2,12,13,1258
2016,2,12,14,915
2016,2,12,15,594
2016,2,12,16,357
2016,2,12,17,249
2016,2,12,18,289
2016,2,12,19,473
2016,2,12,20,761
2016,2,12,21,1077
2016,2,12,22,1324
2016,2,12,23,1431
2016,2,13,0,1381
2016,2,13,1,1209
2016,2,13,2,974
2016,2,13,3,735
2016,2,13,4,547
2016,2,13,5,457
2016,2,13,6,487
2016,2,13,7,640
2016,2,13,8,894
2016,2,13,9,1188
2016,2,13,10,1428
2016,2,13,11,1543
2016,2,13,12,1508
2016,2,13,13,1334
2016,2,13,14,1067
2016,2,13,15,774
2016,2,13,16,513
2016,2,13,17,327
2016,2,13,18,247
2016,2,13,19,298
2016,2,13,20,480
2016,2,13,21,751
2016,2,13,22,1032
2016,2,13,23,1244
2016,2,14,0,1347
2016,2,14,1,1337
2016,2,14,2,1234
2016,2,14,3,1078
2016,2,14,4,913
2016,2,14,5,780
2016,2,14,6,706
2016,2,14,7,715
2016,2,14,8,819
2016,2,14,9,1001
2016,2,14,10,1196
2016,2,14,11,1333
2016,2,14,12,1377
2016,2,14,13,1317
2016,2,14,14,1160
2016,2,14,15,937
2016,2,14,16,699
2016,2,14,17,487
2016,2,14,18,328
2016,2,14,19,254
2016,2,14,20,298
2016,2,14,21,463
2016,2,14,22,704
2016,2,14,23,950
2016,2,15,0,1151
2016,2,15,1,1281
2016,2,15,2,1331
2016,2,15,3,1304
2016,2,15,4,1221
2016,2,15,5,1113
2016,2,15,6,1002
2016,2,15,7,914
2016,2,15,8,879
2016,2,15,9,921
2016,2,15,10,1022
2016,2,15,11,1131
2016,2,15,12,1202
2016,2,15,13,1220
2016,2,15,14,1174
2016,2,15,15,1054
2016,2,15,16,878
2016,2,15,17,683
2016,2,15,18,493
2016,2,15,19,335
2016,2,15,20,248
2016,2,15,21,271
2016,2,15,22,409
2016,2,15,23,622
2016,2,16,0,856
2016,2,16,1,1075
2016,2,16,2,1256
2016,2,16,3,1373
2016,2,16,4,1413
2016,2,16,5,1383
2016,2,16,6,1296
2016,2,16,7,1173
2016,2,16,8,1045
2016,2,16,9,955
2016,2,16,10,932
2016,2,16,11,968
2016,2,16,12,1026
2016,2,16,13,1079
2016,2,16,14,1113
2016,2,16,15,1102
2016,2,16,16,1023
2016,2,16,17,882
2016,2,16,18,703
2016,2,16,19,506
2016,2,16,20,324
2016,2,16,21,209
2016,2,16,22,205
2016,2,16,23,321
2016,2,17,0,527
2016,2,17,1,778
2016,2,17,2,1041
2016,2,17,3,1282
2016,2,17,4,1461
2016,2,17,5,1547
2016,2,17,6,1532
2016,2,17,7,1429
2016,2,17,8,1264
2016,2,17,9,1081
2016,2,17,10,933
2016,2,17,11,862
2016,2,17,12,868
2016,2,17,13,923
2016,2,17,14,1000
2016,2,17,15,1073
2016,2,17,16,1103
2016,2,17,17,1055
2016,2,17,18,925
2016,2,17,19,730
2016,2,17,20,499
2016,2,17,21,279
2016,2,17,22,131
2016,2,17,23,106
2016,2,18,0,223
2016,2,18,1,451
2016,2,18,2,745
2016,2,18,3,1063
2016,2,18,4,1361
2016,2,18,5,1581
2016,2,18,6,1677
2016,2,18,7,1638
2016,2,18,8,1485
2016,2,18,9,1260
2016,2,18,10,1019
2016,2,18,11,829
2016,2,18,12,743
2016,2,18,13,762
2016,2,18,14,853
2016,2,18,15,977
2016,2,18,16,1099
2016,2,18,17,1163
2016,2,18,18,1123
2016,2,18,19,973
2016,2,18,20,737
2016,2,18,21,458
2016,2,18,22,196
2016,2,18,23,25
2016,2,19,0,4
2016,2,19,1,150
2016,2,19,2,424
2016,2,19,3,770
2016,2,19,4,1143
2016,2,19,5,1481
2016,2,19,6,1708
2016,2,19,7,1771
2016,2,19,8,1672
2016,2,19,9,1450
2016,2,19,10,1161
2016,2,19,11,877
2016,2,19,12,678
2016,2,19,13,617
2016,2,19,14,685
2016,2,19,15,830
2016,2,19,16,1009
2016,2,19,17,1173
2016,2,19,18,1250
2016,2,19,19,1190
2016,2,19,20,995
2016,2,19,21,706
2016,2,19,22,380
2016,2,19,23,91
2016,2,20,0,-78
2016,2,20,1,-64
2016,2,20,2,134
2016,2,20,3,462
2016,2,20,4,859
2016,2,20,5,1270
2016,2,20,6,1616
2016,2,20,7,1805
2016,2,20,8,1798
2016,2,20,9,1619
2016,2,20,10,1327
2016,2,20,11,989
2016,2,20,12,693
2016,2,20,13,525
2016,2,20,14,523
2016,2,20,15,652
2016,2,20,16,855
2016,2,20,17,1082
2016,2,20,18,1269
2016,2,20,19,1329
2016,2,20,20,1223
2016,2,20,21,972
2016,2,20,22,635
2016,2,20,23,280
2016,2,21,0,-7
2016,2,21,1,-137
2016,2,21,2,-63
2016,2,21,3,194
2016,2,21,4,570
2016,2,21,5,1001
2016,2,21,6,1421
2016,2,21,7,1728
2016,2,21,8,1837
2016,2,21,9,1738
2016,2,21,10,1480
2016,2,21,11,1134
2016,2,21,12,780
2016,2,21,13,515
2016,2,21,14,413
2016,2,21,15,481
2016,2,21,16,669
2016,2,21,17,920
2016,2,21,18,1177
2016,2,21,19,1354
2016,2,21,20,1367
2016,2,21,21,1201
2016,2,21,22,902
2016,2,21,23,537
2016,2,22,0,185
2016,2,22,1,-61
2016,2,22,2,-123
2016,2,22,3,21
2016,2,22,4,328
2016,2,22,5,734
2016,2,22,6,1173
2016,2,22,7,1556
2016,2,22,8,1777
2016,2,22,9,1780
2016,2,22,10,1589
2016,2,22,11,1272
2016,2,22,12,906
2016,2,22,13,580
2016,2,22,14,385
2016,2,22,15,364
2016,2,22,16,496
2016,2,22,17,731
2016,2,22,18,1014
2016,2,22,19,1269
2016,2,22,20,1400
2016,2,22,21,1345
2016,2,22,22,1125
2016,2,22,23,800
2016,2,23,0,438
2016,2,23,1,127
2016,2,23,2,-43
2016,2,23,3,-22
2016,2,23,4,181
2016,2,23,5,520
2016,2,23,6,931
2016,2,23,7,1337
2016,2,23,8,1633
2016,2,23,9,1735
2016,2,23,10,1629
2016,2,23,11,1369
2016,2,23,12,1027
2016,2,23,13,685
2016,2,23,14,431
2016,2,23,15,326
2016,2,23,16,380
2016,2,23,17,564
2016,2,23,18,831
2016,2,23,19,1118
2016,2,23,20,1332
2016,2,23,21,1388
2016,2,23,22,1267
2016,2,23,23,1013
2016,2,24,0,690
2016,2,24,1,367
2016,2,24,2,134
2016,2,24,3,58
2016,2,24,4,153
2016,2,24,5,396
2016,2,24,6,743
2016,2,24,7,1126
2016,2,24,8,1451
2016,2,24,9,1623
2016,2,24,10,1599
2016,2,24,11,1407
2016,2,24,12,1112
2016,2,24,13,787
2016,2,24,14,512
2016,2,24,15,353
2016,2,24,16,337
2016,2,24,17,452
2016,2,24,18,671
2016,2,24,19,950
2016,2,24,20,1206
2016,2,24,21,1347
2016,2,24,22,1322
2016,2,24,23,1153
2016,2,25,0,894
2016,2,25,1,603
2016,2,25,2,353
2016,2,25,3,217
2016,2,25,4,229
2016,2,25,5,376
2016,2,25,6,635
